"","X","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP","resid"
"1131",1131,1131,148487,0.0167232697350614,0.258714245480267,0.992564087256709,1.05074295032036,0.407000162831105,-0.290224268785508,1.07792341010675,-0.420430934584422,0.813215169323702,0.644824957149841,-0.703346299777371,-0.727720102100053,0.490837705427232
"4158",4158,4158,240277,-0.779432848575415,-0.560249302850544,1.43007212676615,-0.220596549940312,0.871752672012847,0.353288540600607,0.556656098204862,-0.973229742930737,0.353442049893733,1.56576615423112,-0.0796706421112876,-0.528016534331497,0.489576987757581
"1081",1081,1081,146667,-0.45901227552704,-0.565640176454477,1.0973427646234,0.209903066004733,-1.03177022089734,0.608342465845779,1.48901632251247,-0.0459971540712249,-0.339648771933533,1.94121174477647,-0.200730042670431,-0.204027316487328,0.488186008099469
"1985",1985,1985,175856,3.23027460026605,-0.712092242694655,-0.484007959234722,-0.0398127233047796,0.063820400644381,0.363000012704131,1.81691632101294,0.559912828815969,-0.25043906219339,1.27954179273537,0.198805932772287,-0.460679107819942,0.48578928945591
"987",987,987,143048,-0.715793762539418,-0.394030700062612,0.932932381835387,3.31106102449224,0.000640862835946532,0.566940926878125,1.58270203636975,-1.39280802180368,-0.0651573573484771,0.978083669364695,-0.122420991483658,0.0737876660346312,0.485096129017487
"974",974,974,142328,-0.80168427725933,-0.485675551329472,1.00240428923327,-0.482407947794504,1.43127448790724,-0.485987101188115,0.13057347158197,-0.682003469198251,0.0309146377562925,0.564349154906751,-1.53238344882101,-0.998608949323681,0.481554844486443
"3553",3553,3553,219976,-0.546682904541665,-0.467256733182701,1.35338284672423,0.867748098466979,-0.648863931149248,0.497427231821325,0.354669699128574,-1.22949116009048,0.353442049893733,1.88709094099778,0.864832403835298,-0.0331826457951538,0.481170529510513
"1203",1203,1203,151360,-0.025554444764377,0.143708941929698,0.46012747978982,-0.882733572531316,0.365837736683186,-0.211510231735896,0.505316327011074,-0.977213081021303,0.229920913330458,0.573461602488161,-1.21515188431949,-0.615362796149343,0.48113397396276
"239",239,239,110574,-0.361105989317814,0.543532067554724,0.95558740559058,-0.702079806202715,0.056162274849419,0.504071923260578,0.224259185439246,-0.249147396690087,1.25926371802442,0.791019528324999,-0.450040491346687,-0.437976775453189,0.480709197490673
"141",141,141,106458,-0.200895702793627,-0.622693588762767,0.648566691821122,-0.518434652814678,0.155717910183922,0.195860466501382,0.189782842739768,-0.353599373287149,-0.0788819280777299,1.21901904367836,-0.423671116967468,-0.411041804848567,0.478391688842877
"175",175,175,107558,-0.591185761909494,-0.0597965366187703,0.745830315525357,-0.0949582934439636,0.946898031375909,-0.142507666789807,0.13057347158197,-0.478853226579389,0.257370054788964,1.13114500635545,-0.0341235409108177,-0.460679107819942,0.478267128622364
"1755",1755,1755,168227,-0.631683362114219,-0.580914318332287,1.37433946601135,2.05272755492477,0.64631659392366,0.704434926659591,2.19165917644204,-1.17770776491312,1.63668941307887,1.5949794413062,0.391382272935677,0.0249199336519597,0.477313788081331
"3724",3724,3724,226231,-0.407833989554035,-0.31137063813564,0.925832576061709,0.609708449513816,-0.944659039979646,0.622654108945708,1.76407757839744,-0.655890475048985,1.06025744245025,1.25349083381001,-0.333775522492856,-0.0331826457951538,0.476278776568272
"2372",2372,2372,189088,-0.52176130441568,-0.665820577594231,1.1860315717023,1.74461468780278,-1.17392418096631,0.865952041644509,1.62954489329839,-1.41006915352947,0.401478047446118,2.03523023328112,1.28794100182914,0.341213445609094,0.474746258129432
"3707",3707,3707,225575,2.26812282397357,0.140564265660737,-0.447663189853148,0.345816086748712,-0.451667191928983,-0.703217398240616,0.317944899296522,0.756424174617221,-0.147504781723994,0.677446973442616,-0.339369026149055,-0.611514943205826,0.473285003817979
"1776",1776,1776,169080,-0.735820048354941,-0.579117360464309,1.53576047952538,1.120325214529,0.191615374847806,0.852151528655292,2.00428774872749,-1.34323759223219,0.60734660838491,2.22142839364714,0.665064416113939,0.0326156395389946,0.471885472598823
"1955",1955,1955,175005,-0.40916907527507,-0.453330309705874,1.16216057351558,0.772543953792728,-0.0922139124279647,0.358399841707725,1.94414152043112,-0.589058913751712,0.833802025417582,1.85653136774938,-0.433659516353536,-0.139768172330587,0.47088980796947
"1947",1947,1947,174783,-0.558698676030979,-0.597985418078074,1.42626383081648,-0.202258046662895,0.62477811512533,0.101301396019705,0.692687754725626,-1.04935575977266,0.600484323020284,1.1429163396987,-0.622240496762499,-0.709250407971169,0.47026230582431
"1640",1640,1640,164720,-0.500399932879122,-0.270939086106143,1.18578214814621,1.84710220966522,-0.319085889103707,-0.206398930628779,1.02058775322609,-0.451412453066601,0.271094625518217,0.656334857239415,-1.0169820404999,-0.620749790270268,0.469789025923527
"4068",4068,4068,237358,-0.643699133603534,-0.722873989902521,0.723351024614542,0.145133033152578,-0.522504855532379,-0.033636953208201,0.608370612254078,-0.501425475759262,0.147573488954941,0.657249873627281,-0.733311497935574,-0.460679107819942,0.469206183813341
"935",935,935,140951,-0.350870332123213,-0.343266640292244,0.926715075610267,2.78249593712044,-0.123803681332182,0.580741439867343,1.91060203487022,-1.1763799855496,0.154435774319568,1.96646527341715,0.784925208746755,0.328900316189838,0.46748655697475
"4056",4056,4056,237118,-0.128356045284064,-0.548569076708689,0.941045208573477,0.204570593420519,-1.27108665198989,-0.731840684440476,-0.337855097704411,-0.23055848560078,0.902424879063846,1.22975080176972,-0.200730042670431,-0.460679107819942,0.467361728458373
"3493",3493,3493,218733,3.40116557255852,-0.7004120165528,-0.159472029351423,0.410065878373139,0.737256837738831,-0.404717413584944,1.49051529393419,0.830779818974452,-0.271025918287269,1.1033822346449,0.00263376882991236,-0.973597905190817,0.465304659675241
"2565",2565,2565,195003,-0.629903247819506,-0.430868336356154,1.46248273900892,1.23789973199556,-0.558402320196262,0.795927216476997,2.28534489029932,-1.0537816909844,1.81510883255916,1.74549196254545,0.367809650384557,0.090718218986108,0.463586709316514
"747",747,747,133881,-0.586290447599033,-0.430419096889159,1.37397114678908,1.50257245660225,-0.362162846700367,0.246973477572559,-0.36127652616873,-1.33438572980871,1.53375513260947,0.713405229406999,0.0266059273564755,-0.246738484160372,0.463028413084411
"3541",3541,3541,219709,-0.6525997050771,-0.518470032420064,1.37467406413951,2.33833998894753,0.650145656821141,0.617031677727879,1.3953306086552,-1.58976196072611,0.614208893749537,2.2779963648132,0.947536350751941,0.251943257319489,0.462243975508363
"2954",2954,2954,204617,0.305101785478599,-0.57507420526136,0.87778339154839,0.651847988959797,-1.08011213997803,-0.0556155479688069,1.91060203487022,-0.875859256272459,0.319130623070601,1.05059069263645,-0.72092588269685,-0.460679107819942,0.460927614099314
"664",664,664,129941,-0.437205875416803,-0.280373114913026,1.21627041201145,1.88416939714085,0.56111994445471,0.458070213296519,1.89898500635191,-1.2648986097844,1.06025744245025,1.29394285302242,-0.0433128683460003,-0.136689889975773,0.460712666353
"573",573,573,126562,-0.629458219245828,0.0462239775919107,1.23123478035903,-0.255452712198098,0.184435881915029,0.0501883849485287,0.505316327011074,-1.15956144694499,1.68472541063126,0.869279441507663,-0.0425137963951147,-0.445287696045872,0.4601355174491
"1053",1053,1053,145646,-0.64191901930882,-0.422782025950254,1.50549380841563,1.17521066405432,-0.41672699298947,1.08982703013626,2.61324488879979,-1.50921001267244,1.47885684969246,2.4894261394287,0.817687158733057,0.394698601523986,0.459145750615221
"4062",4062,4062,237215,-0.391367932327938,-0.678399282670074,0.297427621404278,-0.888326165729393,-1.47402698555638,-0.540678023034275,0.0743620432676039,0.138121584337155,-0.312199630475028,0.839812056161088,-0.771267415602633,-0.460679107819942,0.455050066134378
"4106",4106,4106,238193,-0.123460730973603,0.192226804365094,0.768309606436172,0.142661887320869,-0.188897750589357,0.155992317865865,2.42587346108524,0.343042199440713,0.291681481612096,0.935966790308564,-0.257464151183297,-0.59689310202046,0.454969804237148
"3708",3708,3708,225627,-0.511080618647401,1.95953486752111,0.595184021874034,0.476396634908478,1.15223152925332,0.2617962507832,1.62954489329839,-0.547455160361357,0.717143174218933,1.1000641060404,-0.110434912220377,-0.145155166451511,0.45387836745882
"2503",2503,2503,192864,-0.402938675243574,0.030051356780112,1.03806109520794,2.46748987373104,0.208846157886469,0.184104473955012,1.16111632401201,-1.25073562990683,0.36030433525836,1.14956328243729,0.416553039388569,-0.101289642895413,0.450625062664181
"2412",2412,2412,190248,0.114184527370609,0.265452837485183,0.888504997342961,0.246450012252635,0.269632531383979,0.194327076169247,2.09797346258477,-0.439019845673729,0.710280888854306,1.19010816614629,0.46529642839258,-0.460679107819942,0.450601423976574
"1651",1651,1651,165024,-0.443436275448299,-0.460518141177785,1.16250988335044,0.265698937678577,0.486931850816018,0.542406681563961,1.30164489479792,-1.20647631778943,0.648520320572669,1.92408347472692,0.828474630070011,-0.0701220340529212,0.447718209462429
"3509",3509,3509,219046,-0.79634393437519,-0.515325356151103,1.20335993959191,-0.264296813069477,1.1948298539878,-0.404717413584944,0.271102042367884,-0.831157351033886,0.106399776767183,0.769089878552631,1.13132289945559,-0.918573608098518,0.446716099828538
"646",646,646,129215,-0.551133190278448,-0.316761511739573,1.28570261306919,0.35270928301611,-0.288932018786045,0.324154124290036,0.880059182440179,-1.13654660464394,0.724005459583559,1.61422616287514,0.658671840506856,-0.179785842943169,0.443239520768779
"2744",2744,2744,199184,-0.490164275684521,-0.380104276585785,0.810367634122001,-0.274831697930972,-1.24141141453441,0.937510257144157,1.58270203636975,-0.955526018083778,-0.113193354900862,1.83586401407663,0.065760452949862,0.180757977864416,0.442465708845822
